tdate,A091220,A091230,A098560,A102110,A105010,A114820,A117690,A123310,A123320,A130680,A133690,A137610,A138520,A138530,A138540,A139220,A139230,A139240,A139250,A139260,A139270,A139280,A139290,A139310,A139320,A143850,A143860,A147970,A150460,A157450,A157490,A157500,A160580,A166400,A174350,A182480,A182490,A192090,A195920,A195930,A203780,A204480,A210780,A211560,A217770,A217780,A217790,A225030,A225040,A225050,A225060,A227540,A227550,A227560,A227570,A228790,A228800,A228810,A228820,A232080,A233160,A236350,A237440,A241180,A243880,A243890,A245340,A245350,A245360,A248260,A248270,A250780,A252000,A252710,A261060,A261070,A261110,A261120,A261140,A267770,A269370,A272580,A275980,A276000,A277630,A277640,A277650,A289250,A289260,A289480,A292150,A292160,A292560,A300610,A302170,A302180,A302190,A305080,A305540,A307510,A307520,A310960,A310970,A315270,A319640,A329200,A329750,A341850,A357870,A360750,A364960,A364970,A364980,A364990,A365000,A365040,A371160,A371450,A371460,A371470,A376410,A377990,A381170,A381180,A387270,A387280
2014-05-31,-76.08012906523723,-56.883736097063704,-89.49762476310187,-82.08810198554649,,,,,,,,,-92.3150184664829,-93.96519391776974,-85.45251825662487,-92.29546851265684,-93.29043800422859,-95.98349028772458,-94.3808438804964,-87.0315228692084,-89.35191418133367,-94.59447648507623,-86.43063540438216,,,,-82.7260889352895,-86.90663798394007,-95.84917741837603,,-96.2033527868804,-86.85584065893595,,,-93.92409428887619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,-76.6296546706304,-57.256972539459646,-90.54533004116425,-82.35073209525402,,,,,,,,,-92.87247528275253,-94.57090036090418,-85.49795304084454,-92.52787011817837,-93.56728436914155,-96.20121702643083,-94.69721175715217,-87.48446715841014,-89.22260415221767,-94.19171325185732,-86.22709947115521,,,,-84.18122071603948,-87.12818189620239,-95.31108122028412,,-96.11100934122433,-87.3054837250229,,,-91.66324250415197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-31,-76.52665537615623,-58.30983055335605,-91.36566106259929,-82.3618843099087,,,,,,,,,-93.05906621764886,-94.31361803643217,-85.42911202427591,-92.46893864076469,-92.97928565929058,-96.27663063702249,-94.7170791748797,-86.83088841097391,-88.86857812097178,-94.09028610319024,-86.45674824731753,,,,-84.81236088411413,-82.86066972285471,-95.49953361762803,,-95.84643890897888,-86.12712020204233,,,-91.72640342975579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-31,-76.38063044185023,-57.8190482137401,-90.86815327518522,-82.68718842087425,,,,,,,,,-93.13593340139204,-94.01350489747392,-85.19178772420553,-92.68634137430413,-93.29038882766312,-96.29518573560452,-95.04558561519083,-87.26057588092338,-88.53775458148941,-94.37564451693193,-85.99489808390084,,,,-84.40027957949493,-83.74655928815369,-95.23512140493365,,-95.89532686019241,-85.9008940350402,,,-92.227399287212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-30,-74.42314732824757,-59.52531074855715,-89.45947446583702,-82.99361443202258,,,,,,,,,-93.29813380895003,-93.78448271320781,-84.77729566494533,-97.00994186455081,-94.16832129227495,-96.30620738708883,-93.92074844493251,-87.942388063392,-89.13182061580456,-94.30364952606853,-85.65862389833607,,,,-81.37591715662971,-84.65762096483043,-95.24578605615221,,-96.0547519023404,-86.32495906534447,,,-92.50659785678549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-31,-74.41865649928008,-63.845637491418,-89.88819325091065,-82.29973545065059,,,,,,,,,-93.41388761850115,-93.89065409165455,-85.04768219386035,-96.67637593780744,-93.38952102514956,-96.25489933042964,-93.37031598760429,-87.77503343839092,-89.06723331695541,-94.37698228807814,-85.70238991838656,,,,-81.8951822608485,-85.26120335209117,-95.4904369903326,,-95.84597274507749,-86.18226398273463,,,-91.7227424337419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-30,-75.7251356240982,-63.42438001587732,-90.20189125404512,-82.4653464702596,,,,,,,,,-94.83825392152656,-93.7656273824807,-84.89528560575675,-96.54913935326955,-93.94992688051201,-96.47199641457996,-93.3159776218207,-87.30593933679944,-90.08856969433161,-94.42639602803402,-85.70345335386057,,,,-82.39322869903772,-84.95427094640216,-95.48286383346972,,-95.80807946670588,-86.78487396764521,,,-91.7519969731141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,-74.4215290195032,-63.4854624338389,-89.42989913079549,-81.6141375192567,,,,,,,,,-94.51325110234043,-93.65674204791128,-84.90701742631987,-96.58479975462477,-94.08494110023578,-96.20061448702644,-92.62244430848588,-86.75193702328544,-89.67450269104062,-94.27636536048043,-85.25820291070161,,,,-83.61681215206862,-83.75486077844037,-94.29507789755723,,-96.02410457408443,-86.30978395352987,,,-88.77404399874848,,,,,,,,-75.53197820742962,-89.62104805101508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-31,-75.52451061088126,-64.25214542799213,-90.0024780836664,-81.8995913637125,,,,,,,,,-94.50033172140047,-93.7585257212615,-85.16774475653082,-96.73895163179034,-93.23004791851764,-96.36470057989386,-92.66719443120759,-86.81580526321085,-89.9119003297476,-94.69583220210419,-85.1940439572323,,,,-84.1950960815648,-86.95225966936263,-94.33513733948018,,-95.89014957443594,-86.19779639780795,,,-89.07714919786498,,,,,,,,-79.20214502790866,-90.00638018895789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-28,-74.59119995185617,-66.26456755097105,-89.6121517492453,-81.78051800554267,,,,,,,,,-94.20796254921277,-94.16481769438718,-84.92124341775637,-96.58519574939058,-92.92675888981604,-96.12437564455873,-92.79556085483077,-86.34720036421142,-88.65097474838474,-94.71760624680257,-85.28878020592947,,,,-81.33549647553087,-83.04185053333256,-94.39931059102042,,-95.88534423716817,-85.7174837370908,,,-88.6593786059063,,,,,,,,-77.47739815041767,-89.73638455508582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
